代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000002	万 科Ａ	0.48	20.81	0.10	20.80	20.81	2261	2261	0.00	          0.00	20.81	20.81	20.81	20.71	    20.85	4705141	  1.56	全国地产	深圳	0.00	20.81	1131	
000012	南 玻Ａ	-0.18	11.33	-0.02	11.32	11.33	156	156	0.00	          0.00	11.33	11.33	11.33	11.35	    24.67	176748	  0.22	玻璃	深圳	0.00	11.33	78	
000048	康达尔	0.00	32.71	0.00	32.71	32.86	20	20	0.00	          0.00	32.71	32.71	32.71	32.71	   318.39	65420	  0.48	饲料	深圳	0.00	32.71	10	
000100	TCL 集团	0.00	3.58	0.00	3.57	3.58	1041	1041	0.00	          0.00	3.58	3.58	3.58	3.58	    21.32	372678	  0.53	家用电器	广东	0.00	3.58	521	
000158	常山股份	0.00	12.10	0.00	12.06	12.10	49	49	0.00	          0.00	12.10	12.10	12.10	12.10	--  	59290	  0.20	纺织	河北	0.00	12.10	25	
000407	胜利股份	--  	10.08	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.08	   341.19	0	  0.00	供气供热	山东	0.00	10.08	0	
000409	山东地矿	0.32	12.39	0.04	12.38	12.39	389	389	0.00	          0.01	12.39	12.39	12.39	12.35	  2141.09	481971	  1.55	综合类	山东	0.00	12.39	195	
000504	*ST生物	0.00	16.81	0.00	16.80	16.87	27	27	0.00	          0.00	16.81	16.81	16.81	16.81	--  	45387	  0.54	出版业	湖南	0.00	16.81	14	
000510	金路集团	-0.18	11.34	-0.02	11.33	11.34	145	145	0.00	          0.00	11.34	11.34	11.34	11.36	   286.87	164430	  0.29	化工原料	四川	0.00	11.34	73	
000518	四环生物	0.00	8.10	0.00	8.10	8.12	1	1	0.00	          0.00	8.10	8.10	8.10	8.10	   603.27	810	  0.01	生物制药	江苏	0.00	8.10	1	
000586	汇源通信	--  	21.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	21.28	  1148.64	0	  0.00	通信设备	四川	0.00	21.28	0	
000608	阳光股份	0.25	7.90	0.02	7.85	7.90	53	53	0.00	          0.00	7.90	7.90	7.90	7.88	--  	41870	  0.46	区域地产	广西	0.00	7.90	27	
000610	西安旅游	0.07	13.73	0.01	13.73	13.74	32	32	0.00	          0.00	13.73	13.73	13.73	13.72	  1452.87	43936	  0.17	旅游服务	陕西	0.00	13.73	16	
000612	焦作万方	0.27	11.11	0.03	11.11	11.12	340	340	0.00	          0.00	11.11	11.11	11.11	11.08	   234.17	377740	  1.19	铝	河南	0.00	11.11	170	
000623	吉林敖东	0.17	29.43	0.05	29.43	29.44	47	47	0.00	          0.00	29.43	29.43	29.43	29.38	    15.40	138321	  0.20	中成药	吉林	0.00	29.43	24	
000656	金科股份	0.00	5.82	0.00	5.82	5.83	707	707	0.00	          0.00	5.82	5.82	5.82	5.82	    23.13	411474	  0.65	区域地产	重庆	0.00	5.82	354	
000752	西藏发展	0.00	15.78	0.00	15.77	15.78	23	23	0.00	          0.00	15.78	15.78	15.78	15.78	   723.12	36294	  0.17	啤酒	西藏	0.00	15.78	12	
000890	法 尔 胜	0.43	11.64	0.05	11.61	11.64	55	55	0.00	          0.00	11.64	11.64	11.64	11.59	    24.39	64020	  0.30	钢加工	江苏	0.00	11.64	28	
000893	东凌国际	0.00	14.44	0.00	14.41	14.44	776	776	0.00	          0.02	14.44	14.44	14.44	14.44	   447.74	1120544	  3.13	食品	广东	0.00	14.44	388	
000929	兰州黄河	0.99	18.38	0.18	18.38	18.40	534	534	0.00	          0.03	18.38	18.38	18.38	18.20	--  	981492	  5.39	啤酒	甘肃	0.00	18.38	267	
000959	首钢股份	-0.42	7.16	-0.03	7.16	7.21	159	159	0.00	          0.00	7.16	7.16	7.16	7.19	   207.60	113844	  1.01	普钢	北京	0.00	7.16	80	
002014	永新股份	0.00	16.36	0.00	16.36	16.40	31	31	0.00	          0.00	16.36	16.36	16.36	16.36	    27.10	50716	  0.39	塑料	安徽	0.00	16.36	16	
002033	丽江旅游	0.00	14.93	0.00	14.93	14.94	43	43	0.00	          0.00	14.93	14.93	14.93	14.93	    28.19	64199	  0.19	旅游景点	云南	0.00	14.93	22	
002034	美 欣 达	--  	55.51	--  	55.20	55.52	0	0	--  	          0.00	--  	--  	--  	55.51	   286.00	0	  0.00	纺织	浙江	0.00	55.51	0	
002058	威 尔 泰	--  	26.66	--  	26.26	26.80	0	0	--  	          0.00	--  	--  	--  	26.66	--  	0	  0.00	电器仪表	上海	0.00	26.66	0	
002159	三特索道	0.32	28.45	0.09	28.36	28.45	49	49	0.00	          0.00	28.45	28.45	28.45	28.36	--  	139405	  0.34	旅游景点	湖北	0.00	28.45	25	
002166	莱茵生物	0.78	12.97	0.10	12.97	12.98	728	728	0.00	          0.02	12.97	12.97	12.97	12.87	    99.50	944216	  1.01	中成药	广西	0.00	12.97	364	
002215	诺 普 信	0.00	11.04	0.00	11.02	11.04	86	86	0.00	          0.00	11.04	11.04	11.04	11.04	--  	94944	  0.25	农药化肥	深圳	0.00	11.04	43	
002278	神开股份	0.00	17.05	0.00	16.99	17.05	16	16	0.00	          0.00	17.05	17.05	17.05	17.05	--  	27280	  0.05	化工机械	上海	0.00	17.05	8	
002290	禾盛新材	0.00	21.97	0.00	21.97	22.12	5	5	0.00	          0.00	21.97	21.97	21.97	21.97	   146.64	10985	  0.07	家用电器	江苏	0.00	21.97	3	
002365	永安药业	--  	22.26	--  	22.32	22.33	0	0	--  	          0.00	--  	--  	--  	22.26	    64.89	0	  0.00	化学制药	湖北	0.00	22.26	0	
002369	卓翼科技	0.00	10.39	0.00	10.39	10.40	35	35	0.00	          0.00	10.39	10.39	10.39	10.39	   393.72	36365	  0.13	通信设备	深圳	0.00	10.39	18	
002426	胜利精密	--  	7.68	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.68	    33.92	0	  0.00	元器件	江苏	0.00	7.68	0	
002450	康得新	-0.31	19.33	-0.06	19.33	19.34	541	541	0.00	          0.00	19.33	19.33	19.33	19.39	    36.12	1045753	  0.36	化工原料	江苏	0.00	19.33	271	
002480	新筑股份	0.10	10.10	0.01	10.10	10.11	7	7	0.00	          0.00	10.10	10.10	10.10	10.09	   893.53	7070	  0.02	机械基件	四川	0.00	10.10	4	
