代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000951	中国重汽	--  	15.35	--  	15.33	15.35	0	0	--  	          0.00	--  	--  	--  	15.35	    34.11	0	  0.00	汽车整车	山东	0.00	15.35	0	
000996	中国中期	0.04	23.24	0.01	23.23	23.24	112	112	0.00	          0.00	23.24	23.24	23.24	23.23	   262.74	260288	  0.45	公路	北京	0.00	23.24	56	
600028	中国石化	0.00	5.53	0.00	5.52	5.53	2843	2843	0.00	          0.00	5.53	5.53	5.53	5.53	    17.22	1572179	  0.52	石油加工	北京	0.00	5.53	1422	
600050	中国联通	-0.67	7.36	-0.05	7.36	7.37	23655	23655	0.00	          0.01	7.36	7.36	7.36	7.41	   239.39	17410080	  1.30	电信运营	上海	0.00	7.36	11828	
600056	中国医药	-0.05	21.65	-0.01	21.60	21.65	135	135	0.00	          0.00	21.65	21.65	21.65	21.66	    23.26	292275	  0.57	医药商业	北京	0.00	21.65	68	
600118	中国卫星	0.24	33.15	0.08	33.15	33.16	206	206	0.00	          0.00	33.15	33.15	33.15	33.07	    98.57	682890	  0.43	航空	北京	0.00	33.15	103	
600150	中国船舶	0.18	27.97	0.05	27.95	27.97	587	587	0.00	          0.00	27.97	27.97	27.97	27.92	--  	1641839	  0.77	船舶	上海	0.00	27.97	294	
600176	中国巨石	0.00	10.24	0.00	10.24	10.25	387	387	0.00	          0.00	10.24	10.24	10.24	10.24	    16.36	396288	  0.37	玻璃	浙江	0.00	10.24	194	
600500	中化国际	-0.18	11.09	-0.02	11.09	11.10	1124	1124	0.00	          0.01	11.09	11.09	11.09	11.11	    76.99	1246516	  1.57	商贸代理	上海	0.00	11.09	562	
600536	中国软件	0.32	25.29	0.08	25.21	25.29	76	76	0.00	          0.00	25.29	25.29	25.29	25.21	--  	192204	  0.32	软件服务	北京	0.00	25.29	38	
600730	中国高科	0.08	12.07	0.01	12.06	12.07	71	71	0.00	          0.00	12.07	12.07	12.07	12.06	     8.33	85697	  0.26	综合类	北京	0.00	12.07	36	
600877	中国嘉陵	0.11	9.53	0.01	9.52	9.53	219	219	0.00	          0.00	9.53	9.53	9.53	9.52	--  	208707	  0.33	摩托车	重庆	0.00	9.53	110	
600970	中材国际	0.13	7.49	0.01	7.49	7.50	124	124	0.00	          0.00	7.49	7.49	7.49	7.48	    20.38	92996	  0.16	建筑施工	江苏	0.00	7.49	62	
601088	中国神华	0.00	16.51	0.00	16.51	16.52	460	460	0.00	          0.00	16.51	16.51	16.51	16.51	    14.23	759460	  0.80	煤炭开采	北京	0.00	16.51	230	
601106	中国一重	-0.46	4.29	-0.02	4.28	4.29	1549	1549	0.00	          0.00	4.29	4.29	4.29	4.31	--  	664521	  1.05	工程机械	黑龙江	0.00	4.29	775	
601111	中国国航	0.75	8.08	0.06	8.07	8.08	9912	9912	0.00	          0.01	8.08	8.08	8.08	8.02	    10.97	8008896	  6.47	空运	北京	0.00	8.08	4956	
601117	中国化学	0.13	7.87	0.01	7.87	7.88	1065	1065	0.00	          0.00	7.87	7.87	7.87	7.86	    20.18	838155	  0.87	建筑施工	北京	0.00	7.87	533	
601179	中国西电	-0.51	5.90	-0.03	5.90	5.92	273	273	0.00	          0.00	5.90	5.90	5.90	5.93	    30.05	161070	  0.64	电气设备	陕西	0.00	5.90	137	
601186	中国铁建	-0.40	12.51	-0.05	12.51	12.52	1002	1002	0.00	          0.00	12.51	12.51	12.51	12.56	    13.97	1253502	  0.60	建筑施工	北京	0.00	12.51	501	
601318	中国平安	0.06	35.99	0.02	35.99	36.00	2714	2714	0.00	          0.00	35.99	35.99	35.99	35.97	     8.73	9769306	  2.32	保险	深圳	0.00	35.99	1357	
601390	中国中铁	-0.11	8.71	-0.01	8.71	8.72	549	549	0.00	          0.00	8.71	8.71	8.71	8.72	    16.14	478179	  0.37	建筑施工	北京	0.00	8.71	275	
601600	中国铝业	0.00	4.90	0.00	4.89	4.90	2793	2793	0.00	          0.00	4.90	4.90	4.90	4.90	   507.82	1368570	  0.86	铝	北京	0.00	4.90	1397	
