代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000008	神州高铁	-0.23	8.65	-0.02	8.64	8.65	339	339	0.00	          0.00	8.65	8.65	8.65	8.67	    84.02	293235	  1.31	运输设备	北京	0.00	8.65	170	
000056	皇庭国际	0.08	12.86	0.01	12.86	12.90	5	5	0.00	          0.00	12.86	12.86	12.86	12.85	   148.20	6430	  0.07	房产服务	深圳	0.00	12.86	3	
000422	湖北宜化	-0.14	7.04	-0.01	7.03	7.04	81	81	0.00	          0.00	7.04	7.04	7.04	7.05	   258.04	57024	  0.14	农药化肥	湖北	0.00	7.04	41	
000503	海虹控股	0.36	41.93	0.15	41.80	41.93	137	137	0.00	          0.00	41.93	41.93	41.93	41.78	--  	574441	  0.87	医疗保健	海南	0.00	41.93	69	
000504	*ST生物	0.00	16.81	0.00	16.80	16.87	27	27	0.00	          0.00	16.81	16.81	16.81	16.81	--  	45387	  0.54	出版业	湖南	0.00	16.81	14	
000540	中天城投	1.04	6.77	0.07	6.77	6.78	4902	4902	0.00	          0.01	6.77	6.77	6.77	6.70	    11.62	3318932	  5.07	区域地产	贵州	0.00	6.77	2451	
000608	阳光股份	0.25	7.90	0.02	7.85	7.90	53	53	0.00	          0.00	7.90	7.90	7.90	7.88	--  	41870	  0.46	区域地产	广西	0.00	7.90	27	
000620	新华联	0.12	8.53	0.01	8.52	8.53	19	19	0.00	          0.00	8.53	8.53	8.53	8.52	    76.62	16207	  0.07	全国地产	北京	0.00	8.53	10	
000633	*ST合金	0.00	11.64	0.00	11.64	11.66	12	12	0.00	          0.00	11.64	11.64	11.64	11.64	--  	13968	  0.08	综合类	辽宁	0.00	11.64	6	
000662	天夏智慧	0.15	19.60	0.03	19.58	19.60	51	51	0.00	          0.00	19.60	19.60	19.60	19.57	    90.40	99960	  0.27	软件服务	广西	0.00	19.60	26	
000680	山推股份	-0.30	6.57	-0.02	6.57	6.58	712	712	0.00	          0.01	6.57	6.57	6.57	6.59	--  	467784	  0.40	工程机械	山东	0.00	6.57	356	
000686	东北证券	-0.16	12.12	-0.02	12.12	12.14	344	344	0.00	          0.00	12.12	12.12	12.12	12.14	    18.35	416928	  0.50	证券	吉林	0.00	12.12	172	
000703	恒逸石化	-0.13	14.84	-0.02	14.84	14.85	7	7	0.00	          0.00	14.84	14.84	14.84	14.86	    35.86	10388	  0.02	化纤	广西	0.00	14.84	4	
000728	国元证券	0.10	20.13	0.02	20.12	20.13	385	385	0.00	          0.00	20.13	20.13	20.13	20.11	    31.10	775005	  0.50	证券	安徽	0.00	20.13	193	
000793	华闻传媒	0.09	10.86	0.01	10.86	10.88	457	457	0.00	          0.00	10.86	10.86	10.86	10.85	    23.65	496302	  0.54	出版业	海南	0.00	10.86	229	
000806	银河生物	-0.33	12.21	-0.04	12.20	12.21	685	685	0.00	          0.01	12.21	12.21	12.21	12.25	  2867.03	836385	  0.97	生物制药	广西	0.00	12.21	343	
000826	启迪桑德	-0.29	34.40	-0.10	34.40	34.48	100	100	0.00	          0.00	34.40	34.40	34.40	34.50	    30.78	344000	  0.99	环境保护	湖北	0.00	34.40	50	
000829	天音控股	--  	11.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.28	   132.17	0	  0.00	其他商业	江西	0.00	11.28	0	
000889	茂业通信	-0.06	17.34	-0.01	17.30	17.34	9	9	0.00	          0.00	17.34	17.34	17.34	17.35	    46.83	15606	  0.08	通信设备	河北	0.00	17.34	5	
000933	*ST神火	-0.13	7.54	-0.01	7.53	7.54	224	224	0.00	          0.00	7.54	7.54	7.54	7.55	    13.02	168896	  0.23	煤炭开采	河南	0.00	7.54	112	
000989	九 芝 堂	-0.05	21.26	-0.01	21.20	21.27	2	2	0.00	          0.00	21.26	21.26	21.26	21.27	    29.90	4252	  0.03	中成药	湖南	0.00	21.26	1	
002010	传化智联	0.22	17.87	0.04	17.87	17.89	56	56	0.00	          0.00	17.87	17.87	17.87	17.83	    76.30	100072	  0.51	染料涂料	浙江	0.00	17.87	28	
002024	苏宁云商	0.00	11.03	0.00	11.03	11.04	253	253	0.00	          0.00	11.03	11.03	11.03	11.03	--  	279059	  0.24	电器连锁	江苏	0.00	11.03	127	
002044	美年健康	--  	12.85	--  	12.80	12.84	0	0	--  	          0.00	--  	--  	--  	12.85	   244.68	0	  0.00	医疗保健	江苏	0.00	12.85	0	
002065	东华软件	0.00	21.67	0.00	21.61	21.67	70	70	0.00	          0.00	21.67	21.67	21.67	21.67	    40.38	151690	  0.24	软件服务	北京	0.00	21.67	35	
002085	万丰奥威	0.00	19.28	0.00	19.28	19.30	35	35	0.00	          0.00	19.28	19.28	19.28	19.28	    37.18	67480	  0.19	汽车配件	浙江	0.00	19.28	18	
002089	新 海 宜	0.13	15.21	0.02	15.21	15.25	109	109	0.00	          0.00	15.21	15.21	15.21	15.19	   122.94	165789	  0.34	通信设备	江苏	0.00	15.21	55	
002145	中核钛白	-0.61	6.51	-0.04	6.51	6.53	1654	1654	0.00	          0.02	6.51	6.51	6.51	6.55	   167.57	1076754	  0.92	化工原料	甘肃	0.00	6.51	827	
