代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000001	平安银行	-0.11	9.43	-0.01	9.43	9.44	1805	1805	0.00	          0.00	9.43	9.43	9.43	9.44	     6.49	1702115	  1.17	银行	深圳	0.00	9.43	903	
000027	深圳能源	-0.28	7.00	-0.02	6.99	7.00	279	279	0.00	          0.00	7.00	7.00	7.00	7.02	    15.56	195300	  0.92	火力发电	深圳	0.00	7.00	140	
000039	中集集团	0.18	16.37	0.03	16.34	16.37	66	66	0.00	          0.00	16.37	16.37	16.37	16.34	--  	108042	  0.18	轻工机械	深圳	0.00	16.37	33	
000059	华锦股份	0.00	12.36	0.00	12.36	12.37	414	413	0.00	          0.00	12.36	12.36	12.36	12.36	    12.63	511457	  0.18	石油加工	辽宁	0.00	12.36	207	
000069	华侨城Ａ	0.26	7.62	0.02	7.62	7.63	1071	1071	0.00	          0.00	7.62	7.62	7.62	7.60	    16.08	816102	  0.91	旅游景点	深圳	0.00	7.62	536	
000089	深圳机场	-0.35	8.59	-0.03	8.57	8.59	371	371	0.00	          0.00	8.59	8.59	8.59	8.62	    32.28	318689	  0.82	机场	深圳	0.00	8.59	186	
000100	TCL 集团	0.00	3.58	0.00	3.57	3.58	1041	1041	0.00	          0.00	3.58	3.58	3.58	3.58	    21.32	372678	  0.53	家用电器	广东	0.00	3.58	521	
000157	中联重科	-0.21	4.84	-0.01	4.83	4.84	814	814	0.00	          0.00	4.84	4.84	4.84	4.85	--  	393976	  0.40	工程机械	湖南	0.00	4.84	407	
000338	潍柴动力	0.97	11.40	0.11	11.40	11.41	6788	6787	0.00	          0.03	11.40	11.40	11.40	11.29	    22.73	7738195	  7.01	汽车配件	山东	0.00	11.40	3394	
000401	冀东水泥	0.36	13.89	0.05	13.89	13.90	119	119	0.00	          0.00	13.89	13.89	13.89	13.84	--  	165291	  0.15	水泥	河北	0.00	13.89	60	
000402	金 融 街	0.27	11.20	0.03	11.20	11.21	610	609	0.00	          0.00	11.20	11.20	11.20	11.17	    31.23	683088	  1.11	全国地产	北京	0.00	11.20	305	
000415	渤海金控	-0.14	7.26	-0.01	7.25	7.26	297	297	0.00	          0.00	7.26	7.26	7.26	7.27	    23.39	215622	  0.34	多元金融	新疆	0.00	7.26	149	
000422	湖北宜化	-0.14	7.04	-0.01	7.03	7.04	81	81	0.00	          0.00	7.04	7.04	7.04	7.05	   258.04	57024	  0.14	农药化肥	湖北	0.00	7.04	41	
000425	徐工机械	-0.50	4.00	-0.02	4.00	4.01	2323	2323	0.00	          0.00	4.00	4.00	4.00	4.02	   127.13	929200	  0.74	工程机械	江苏	0.00	4.00	1162	
000488	晨鸣纸业	-0.08	12.21	-0.01	12.20	12.21	646	646	0.00	          0.01	12.21	12.21	12.21	12.22	    11.46	788766	  0.63	造纸	山东	0.00	12.21	323	
000528	柳 工	0.00	9.10	0.00	9.08	9.10	426	426	0.00	          0.00	9.10	9.10	9.10	9.10	  1221.14	387660	  0.45	工程机械	广西	0.00	9.10	213	
000543	皖能电力	0.00	7.15	0.00	7.15	7.16	678	678	0.00	          0.00	7.15	7.15	7.15	7.15	    12.43	484770	  1.63	火力发电	安徽	0.00	7.15	339	
000572	海马汽车	0.00	6.14	0.00	6.13	6.14	355	355	0.00	          0.00	6.14	6.14	6.14	6.14	    36.24	217970	  0.22	汽车整车	海南	0.00	6.14	178	
000581	威孚高科	0.17	23.76	0.04	23.73	23.76	72	72	0.00	          0.00	23.76	23.76	23.76	23.72	    13.73	171072	  0.33	汽车配件	江苏	0.00	23.76	36	
000600	建投能源	0.00	9.36	0.00	9.35	9.36	101	101	0.00	          0.00	9.36	9.36	9.36	9.36	     7.66	94536	  0.27	火力发电	河北	0.00	9.36	51	
000616	海航投资	0.00	5.08	0.00	5.07	5.08	93	93	0.00	          0.00	5.08	5.08	5.08	5.08	--  	47244	  0.30	全国地产	辽宁	0.00	5.08	47	
000623	吉林敖东	0.17	29.43	0.05	29.43	29.44	47	47	0.00	          0.00	29.43	29.43	29.43	29.38	    15.40	138321	  0.20	中成药	吉林	0.00	29.43	24	
000656	金科股份	0.00	5.82	0.00	5.82	5.83	707	707	0.00	          0.00	5.82	5.82	5.82	5.82	    23.13	411474	  0.65	区域地产	重庆	0.00	5.82	354	
000667	美好置业	-0.53	3.75	-0.02	3.75	3.76	1746	1746	0.00	          0.01	3.75	3.75	3.75	3.77	    14.44	654750	  2.48	全国地产	云南	0.00	3.75	873	
000683	远兴能源	-0.33	3.04	-0.01	3.04	3.05	1564	1564	0.00	          0.01	3.04	3.04	3.04	3.05	   176.40	475456	  1.00	化工原料	内蒙	0.00	3.04	782	
000685	中山公用	-0.09	10.98	-0.01	10.98	11.00	350	350	0.00	          0.00	10.98	10.98	10.98	10.99	    16.67	384300	  1.55	水务	广东	0.00	10.98	175	
000709	河钢股份	0.00	3.84	0.00	3.84	3.85	2426	2426	0.00	          0.00	3.84	3.84	3.84	3.84	    32.77	931584	  0.74	普钢	河北	0.00	3.84	1213	
000725	京东方Ａ	0.00	3.20	0.00	3.19	3.20	8971	8971	0.00	          0.00	3.20	3.20	3.20	3.20	   599.76	2870720	  0.91	元器件	北京	0.00	3.20	4486	
000726	鲁 泰Ａ	0.08	12.64	0.01	12.61	12.64	65	65	0.00	          0.00	12.64	12.64	12.64	12.63	    15.05	82160	  0.21	纺织	山东	0.00	12.64	33	
000727	华东科技	0.00	3.26	0.00	3.25	3.26	1649	1649	0.00	          0.01	3.26	3.26	3.26	3.26	--  	537574	  1.08	元器件	江苏	0.00	3.26	825	
000729	燕京啤酒	0.00	7.45	0.00	7.45	7.47	22	22	0.00	          0.00	7.45	7.45	7.45	7.45	    25.47	16390	  0.10	啤酒	北京	0.00	7.45	11	
000732	泰禾集团	-0.05	18.55	-0.01	18.51	18.55	45	45	0.00	          0.00	18.55	18.55	18.55	18.56	    14.27	83475	  0.16	区域地产	福建	0.00	18.55	23	
000776	广发证券	-0.29	17.36	-0.05	17.36	17.37	797	797	0.00	          0.00	17.36	17.36	17.36	17.41	    16.04	1383592	  1.13	证券	广东	0.00	17.36	399	
000778	新兴铸管	-0.18	5.53	-0.01	5.52	5.53	2307	2307	0.00	          0.01	5.53	5.53	5.53	5.54	    66.57	1275771	  1.19	钢加工	河北	0.00	5.53	1154	
000786	北新建材	-0.17	11.82	-0.02	11.80	11.82	41	41	0.00	          0.00	11.82	11.82	11.82	11.84	    20.27	48462	  0.06	其他建材	北京	0.00	11.82	21	
000792	盐湖股份	0.00	18.62	0.00	18.62	18.63	268	268	0.00	          0.00	18.62	18.62	18.62	18.62	    99.67	499016	  0.68	农药化肥	青海	0.00	18.62	134	
000825	太钢不锈	0.00	4.93	0.00	4.93	4.94	2015	2015	0.00	          0.00	4.93	4.93	4.93	4.93	    25.01	993395	  0.88	特种钢	山西	0.00	4.93	1008	
000830	鲁西化工	-0.33	6.11	-0.02	6.11	6.12	342	342	0.00	          0.00	6.11	6.11	6.11	6.13	    37.40	208962	  0.24	农药化肥	山东	0.00	6.11	171	
000860	顺鑫农业	0.23	22.25	0.05	22.22	22.25	97	97	0.00	          0.00	22.25	22.25	22.25	22.20	    38.58	215825	  0.28	白酒	北京	0.00	22.25	49	
000876	新 希 望	0.00	8.08	0.00	8.08	8.09	278	278	0.00	          0.00	8.08	8.08	8.08	8.08	    12.09	224624	  0.47	饲料	四川	0.00	8.08	139	
000882	华联股份	0.23	4.28	0.01	4.27	4.28	1420	1420	0.00	          0.01	4.28	4.28	4.28	4.27	    57.24	607760	  1.16	百货	北京	0.00	4.28	710	
000883	湖北能源	0.00	4.78	0.00	4.77	4.78	242	242	0.00	          0.00	4.78	4.78	4.78	4.78	    12.75	115676	  0.54	火力发电	湖北	0.00	4.78	121	
000898	鞍钢股份	0.00	5.86	0.00	5.86	5.87	649	649	0.00	          0.00	5.86	5.86	5.86	5.86	    32.55	380314	  0.71	普钢	辽宁	0.00	5.86	325	
000900	现代投资	0.12	8.66	0.01	8.66	8.67	119	119	0.00	          0.00	8.66	8.66	8.66	8.65	    12.15	103054	  0.37	路桥	湖南	0.00	8.66	60	
000903	云内动力	--  	8.76	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.76	    38.01	0	  0.00	机械基件	云南	0.00	8.76	0	
000926	福星股份	0.16	12.65	0.02	12.63	12.65	692	692	0.00	          0.01	12.65	12.65	12.65	12.63	    13.47	875380	  1.44	区域地产	湖北	0.00	12.65	346	
000937	冀中能源	-0.15	6.85	-0.01	6.85	6.86	429	429	0.00	          0.00	6.85	6.85	6.85	6.86	   223.80	293865	  0.36	煤炭开采	河北	0.00	6.85	215	
000959	首钢股份	-0.42	7.16	-0.03	7.16	7.21	159	159	0.00	          0.00	7.16	7.16	7.16	7.19	   207.60	113844	  1.01	普钢	北京	0.00	7.16	80	
000979	中弘股份	--  	2.66	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	2.66	    74.11	0	  0.00	区域地产	安徽	0.00	2.66	0	
000983	西山煤电	-0.22	9.19	-0.02	9.18	9.19	140	140	0.00	          0.00	9.19	9.19	9.19	9.21	   107.00	128660	  0.12	煤炭开采	山西	0.00	9.19	70	
002005	德豪润达	0.00	6.00	0.00	6.00	6.02	1174	1174	0.00	          0.01	6.00	6.00	6.00	6.00	   340.19	704400	  1.54	家用电器	广东	0.00	6.00	587	
002024	苏宁云商	0.00	11.03	0.00	11.03	11.04	253	253	0.00	          0.00	11.03	11.03	11.03	11.03	--  	279059	  0.24	电器连锁	江苏	0.00	11.03	127	
002092	中泰化学	-0.23	12.88	-0.03	12.88	12.89	248	248	0.00	          0.00	12.88	12.88	12.88	12.91	    29.09	319424	  0.33	化工原料	新疆	0.00	12.88	124	
002128	露天煤业	0.11	8.93	0.01	8.92	8.93	247	247	0.00	          0.00	8.93	8.93	8.93	8.92	    22.00	220571	  0.59	煤炭开采	内蒙	0.00	8.93	124	
002142	宁波银行	-0.06	18.10	-0.01	18.09	18.10	100	100	0.00	          0.00	18.10	18.10	18.10	18.11	     8.35	181000	  0.19	银行	浙江	0.00	18.10	50	
002146	荣盛发展	0.11	9.20	0.01	9.19	9.20	200	200	0.00	          0.00	9.20	9.20	9.20	9.19	    13.80	184000	  0.23	全国地产	河北	0.00	9.20	100	
002244	滨江集团	-0.65	7.59	-0.05	7.58	7.59	2008	2008	0.00	          0.01	7.59	7.59	7.59	7.64	    17.43	1524072	  1.60	区域地产	浙江	0.00	7.59	1004	
002433	太安堂	-0.28	10.59	-0.03	10.58	10.59	275	275	0.00	          0.00	10.59	10.59	10.59	10.62	    37.29	291225	  0.76	中成药	广东	0.00	10.59	138	
300157	恒泰艾普	0.00	8.87	0.00	8.85	8.87	11	11	0.00	          0.00	8.87	8.87	8.87	8.87	  1277.09	9757	  0.03	石油开采	北京	0.00	8.87	6	
600000	浦发银行	0.00	16.34	0.00	16.33	16.34	278	278	0.00	          0.00	16.34	16.34	16.34	16.34	     6.51	454252	  0.47	银行	上海	0.00	16.34	139	
600004	白云机场	-0.37	16.20	-0.06	16.14	16.14	0	0	--  	          0.00	--  	--  	--  	16.20	    13.22	0	  3.28	机场	广东	0.00	16.20	0	
600011	华能国际	-0.39	7.72	-0.03	7.72	7.73	80	80	0.00	          0.00	7.72	7.72	7.72	7.75	     9.37	61760	  0.14	火力发电	北京	0.00	7.72	40	
600015	华夏银行	-0.09	11.47	-0.01	11.46	11.46	0	0	--  	          0.00	--  	--  	--  	11.47	     6.29	0	  0.16	银行	北京	0.00	11.47	0	
600016	民生银行	-0.11	8.85	-0.01	8.85	8.86	1019	1019	0.00	          0.00	8.85	8.85	8.85	8.86	     6.18	901815	  0.53	银行	北京	0.00	8.85	510	
600017	日照港	-0.25	4.07	-0.01	4.07	4.08	146	146	0.00	          0.00	4.07	4.07	4.07	4.08	    40.65	59422	  0.21	港口	山东	0.00	4.07	73	
600022	山东钢铁	-0.36	2.75	-0.01	2.75	2.76	960	960	0.00	          0.00	2.75	2.75	2.75	2.76	   710.63	264000	  0.48	普钢	山东	0.00	2.75	480	
600023	浙能电力	0.00	5.72	0.00	5.71	5.72	173	173	0.00	          0.00	5.72	5.72	5.72	5.72	     9.99	98956	  0.23	火力发电	浙江	0.00	5.72	87	
600026	中远海能	0.00	7.08	0.00	7.08	7.09	407	407	0.00	          0.00	7.08	7.08	7.08	7.08	     9.63	288156	  0.61	水运	上海	0.00	7.08	204	
600027	华电国际	0.00	5.09	0.00	5.08	5.09	628	628	0.00	          0.00	5.09	5.09	5.09	5.09	    10.13	319652	  0.62	火力发电	山东	0.00	5.09	314	
600028	中国石化	0.00	5.53	0.00	5.52	5.53	2843	2843	0.00	          0.00	5.53	5.53	5.53	5.53	    17.22	1572179	  0.52	石油加工	北京	0.00	5.53	1422	
600029	南方航空	0.26	7.79	0.02	7.79	7.80	1895	1895	0.00	          0.00	7.79	7.79	7.79	7.77	     8.91	1476205	  0.76	空运	广东	0.00	7.79	948	
600030	中信证券	0.00	16.34	0.00	16.33	16.34	731	731	0.00	          0.00	16.34	16.34	16.34	16.34	    18.70	1194454	  0.45	证券	深圳	0.00	16.34	366	
600036	招商银行	0.05	19.04	0.01	19.03	19.04	317	317	0.00	          0.00	19.04	19.04	19.04	19.03	     6.91	603568	  0.36	银行	深圳	0.00	19.04	159	
600037	歌华有线	0.07	15.25	0.01	15.24	15.25	319	319	0.00	          0.00	15.25	15.25	15.25	15.24	    26.76	486475	  1.11	影视音像	北京	0.00	15.25	160	
600039	四川路桥	0.00	4.83	0.00	4.82	4.83	1536	1536	0.00	          0.01	4.83	4.83	4.83	4.83	    19.02	741888	  1.53	建筑施工	四川	0.00	4.83	768	
600048	保利地产	-0.20	10.07	-0.02	10.06	10.07	3914	3914	0.00	          0.00	10.07	10.07	10.07	10.09	    12.60	3941398	  1.25	全国地产	广东	0.00	10.07	1957	
600060	海信电器	-2.61	19.02	-0.51	19.02	19.20	15677	15677	0.00	          0.12	19.02	19.02	19.02	19.53	    14.15	29818568	 29.52	家用电器	山东	0.00	19.02	7839	
600064	南京高科	0.06	17.29	0.01	17.29	17.30	13	13	0.00	          0.00	17.29	17.29	17.29	17.28	    11.04	22477	  0.06	园区开发	江苏	0.00	17.29	7	
600067	冠城大通	0.00	7.28	0.00	7.26	7.28	29	29	0.00	          0.00	7.28	7.28	7.28	7.28	    32.81	21112	  0.09	全国地产	福建	0.00	7.28	15	
600068	葛洲坝	0.00	10.98	0.00	10.98	10.99	1234	1233	0.00	          0.00	10.98	10.98	10.98	10.98	    16.91	1354383	  0.53	建筑施工	湖北	0.00	10.98	617	
600089	特变电工	0.28	10.56	0.03	10.56	10.57	549	549	0.00	          0.00	10.56	10.56	10.56	10.53	    14.52	579744	  0.38	电气设备	新疆	0.00	10.56	275	
600104	上汽集团	0.00	24.85	0.00	24.85	24.88	853	852	0.00	          0.00	24.85	24.85	24.85	24.85	     9.43	2119556	  0.85	汽车整车	上海	0.00	24.85	426	
600115	东方航空	-0.28	7.24	-0.02	7.23	7.24	6211	6211	0.00	          0.01	7.24	7.24	7.24	7.26	    11.74	4496764	  1.06	空运	上海	0.00	7.24	3106	
600122	宏图高科	-0.16	12.86	-0.02	12.84	12.84	0	0	--  	          0.00	--  	--  	--  	12.86	    37.34	0	  0.16	其他商业	江苏	0.00	12.86	0	
600123	兰花科创	0.12	8.04	0.01	8.05	8.05	0	0	--  	          0.00	--  	--  	--  	8.04	--  	0	  0.46	煤炭开采	山西	0.00	8.04	0	
