代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000002	万 科Ａ	0.48	20.81	0.10	20.80	20.81	2261	2261	0.00	          0.00	20.81	20.81	20.81	20.71	    20.85	4705141	  1.56	全国地产	深圳	0.00	20.81	1131	
000039	中集集团	0.18	16.37	0.03	16.34	16.37	66	66	0.00	          0.00	16.37	16.37	16.37	16.34	--  	108042	  0.18	轻工机械	深圳	0.00	16.37	33	
000042	中洲控股	--  	20.24	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.24	   123.09	0	  0.00	全国地产	深圳	0.00	20.24	0	
000055	方大集团	0.20	14.83	0.03	14.80	14.83	30	30	0.00	          0.00	14.83	14.83	14.83	14.80	    76.82	44490	  0.22	其他建材	深圳	0.00	14.83	15	
000088	盐 田 港	-0.27	7.44	-0.02	7.43	7.45	129	129	0.00	          0.00	7.44	7.44	7.44	7.46	    40.19	95976	  0.28	港口	深圳	0.00	7.44	65	
000090	天健集团	0.11	9.31	0.01	9.31	9.34	34	33	0.00	          0.00	9.31	9.31	9.31	9.30	    37.77	31468	  0.13	建筑施工	深圳	0.00	9.31	17	
000338	潍柴动力	0.97	11.40	0.11	11.40	11.41	6788	6787	0.00	          0.03	11.40	11.40	11.40	11.29	    22.73	7738195	  7.01	汽车配件	山东	0.00	11.40	3394	
000402	金 融 街	0.27	11.20	0.03	11.20	11.21	610	609	0.00	          0.00	11.20	11.20	11.20	11.17	    31.23	683088	  1.11	全国地产	北京	0.00	11.20	305	
000404	华意压缩	0.09	10.66	0.01	10.66	10.68	30	30	0.00	          0.00	10.66	10.66	10.66	10.65	    24.70	31980	  0.07	专用机械	江西	0.00	10.66	15	
000417	合肥百货	-0.63	9.45	-0.06	9.45	9.46	79	79	0.00	          0.00	9.45	9.45	9.45	9.51	    23.96	74655	  0.12	百货	安徽	0.00	9.45	40	
000418	小天鹅Ａ	-0.15	38.75	-0.06	38.73	38.75	121	121	0.00	          0.00	38.75	38.75	38.75	38.81	    20.86	468875	  0.86	家用电器	江苏	0.00	38.75	61	
000531	穗恒运Ａ	0.17	11.81	0.02	11.80	11.81	52	52	0.00	          0.00	11.81	11.81	11.81	11.79	    14.04	61412	  0.24	火力发电	广东	0.00	11.81	26	
000537	广宇发展	0.21	9.37	0.02	9.36	9.37	182	182	0.00	          0.00	9.37	9.37	9.37	9.35	    14.37	170534	  0.61	区域地产	天津	0.00	9.37	91	
000539	粤电力Ａ	-0.18	5.52	-0.01	5.51	5.52	69	69	0.00	          0.00	5.52	5.52	5.52	5.53	    14.72	38088	  0.24	火力发电	广东	0.00	5.52	35	
000543	皖能电力	0.00	7.15	0.00	7.15	7.16	678	678	0.00	          0.00	7.15	7.15	7.15	7.15	    12.43	484770	  1.63	火力发电	安徽	0.00	7.15	339	
000550	江铃汽车	-0.14	28.14	-0.04	28.06	28.15	4	4	0.00	          0.00	28.14	28.14	28.14	28.18	    16.66	11256	  0.04	汽车整车	江西	0.00	28.14	2	
000598	兴蓉环境	0.00	5.87	0.00	5.87	5.88	318	318	0.00	          0.00	5.87	5.87	5.87	5.87	    17.32	186666	  0.28	水务	四川	0.00	5.87	159	
000603	盛达矿业	0.12	17.00	0.02	17.00	17.03	218	218	0.00	          0.01	17.00	17.00	17.00	16.98	    60.79	370600	  0.72	铅锌	北京	0.00	17.00	109	
000615	京汉股份	0.34	11.89	0.04	11.85	11.89	355	355	0.00	          0.01	11.89	11.89	11.89	11.85	--  	422095	  0.47	化纤	湖北	0.00	11.89	178	
000623	吉林敖东	0.17	29.43	0.05	29.43	29.44	47	47	0.00	          0.00	29.43	29.43	29.43	29.38	    15.40	138321	  0.20	中成药	吉林	0.00	29.43	24	
000625	长安汽车	0.51	15.70	0.08	15.70	15.71	3473	3473	0.00	          0.01	15.70	15.70	15.70	15.62	     7.31	5452610	  1.99	汽车整车	重庆	0.00	15.70	1737	
