代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000001	平安银行	-0.11	9.43	-0.01	9.43	9.44	1805	1805	0.00	          0.00	9.43	9.43	9.43	9.44	     6.49	1702115	  1.17	银行	深圳	0.00	9.43	903	
000002	万 科Ａ	0.48	20.81	0.10	20.80	20.81	2261	2261	0.00	          0.00	20.81	20.81	20.81	20.71	    20.85	4705141	  1.56	全国地产	深圳	0.00	20.81	1131	
000005	世纪星源	0.15	6.64	0.01	6.63	6.64	279	279	0.00	          0.00	6.64	6.64	6.64	6.63	    39.41	185256	  0.45	房产服务	深圳	0.00	6.64	140	
000006	深振业Ａ	0.00	8.76	0.00	8.75	8.76	532	532	0.00	          0.00	8.76	8.76	8.76	8.76	    77.47	466032	  0.86	区域地产	深圳	0.00	8.76	266	
000008	神州高铁	-0.23	8.65	-0.02	8.64	8.65	339	339	0.00	          0.00	8.65	8.65	8.65	8.67	    84.02	293235	  1.31	运输设备	北京	0.00	8.65	170	
000009	中国宝安	-0.21	9.73	-0.02	9.73	9.75	252	252	0.00	          0.00	9.73	9.73	9.73	9.75	    74.56	245196	  0.27	综合类	深圳	0.00	9.73	126	
000012	南 玻Ａ	-0.18	11.33	-0.02	11.32	11.33	156	156	0.00	          0.00	11.33	11.33	11.33	11.35	    24.67	176748	  0.22	玻璃	深圳	0.00	11.33	78	
000018	神州长城	-0.62	9.60	-0.06	9.60	9.62	910	910	0.00	          0.01	9.60	9.60	9.60	9.66	    40.33	873600	  1.74	装修装饰	深圳	0.00	9.60	455	
000021	深科技	-0.20	9.87	-0.02	9.86	9.87	98	98	0.00	          0.00	9.87	9.87	9.87	9.89	    35.88	96726	  0.23	电脑设备	深圳	0.00	9.87	49	
000027	深圳能源	-0.28	7.00	-0.02	6.99	7.00	279	279	0.00	          0.00	7.00	7.00	7.00	7.02	    15.56	195300	  0.92	火力发电	深圳	0.00	7.00	140	
000028	国药一致	0.30	70.54	0.21	70.51	70.54	11	11	0.00	          0.00	70.54	70.54	70.54	70.33	    31.34	77594	  0.23	医药商业	深圳	0.00	70.54	6	
000029	深深房Ａ	--  	11.17	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	11.17	    35.78	0	  0.00	区域地产	深圳	0.00	11.17	0	
000030	富奥股份	0.11	8.84	0.01	8.84	8.85	433	433	0.00	          0.00	8.84	8.84	8.84	8.83	    16.52	382772	  1.62	汽车配件	吉林	0.00	8.84	217	
000031	中粮地产	0.36	8.37	0.03	8.36	8.37	405	405	0.00	          0.00	8.37	8.37	8.37	8.34	   148.40	338985	  1.00	全国地产	深圳	0.00	8.37	203	
000034	神州数码	0.00	23.50	0.00	23.50	23.58	68	68	0.00	          0.00	23.50	23.50	23.50	23.50	    34.53	159800	  0.41	综合类	深圳	0.00	23.50	34	
000035	中国天楹	-0.27	7.42	-0.02	7.42	7.43	98	98	0.00	          0.00	7.42	7.42	7.42	7.44	    51.00	72716	  0.27	环境保护	江苏	0.00	7.42	49	
000036	华联控股	0.24	8.41	0.02	8.40	8.41	174	174	0.00	          0.00	8.41	8.41	8.41	8.39	    15.13	146334	  0.69	全国地产	深圳	0.00	8.41	87	
000039	中集集团	0.18	16.37	0.03	16.34	16.37	66	66	0.00	          0.00	16.37	16.37	16.37	16.34	--  	108042	  0.18	轻工机械	深圳	0.00	16.37	33	
000042	中洲控股	--  	20.24	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.24	   123.09	0	  0.00	全国地产	深圳	0.00	20.24	0	
000046	泛海控股	0.21	9.37	0.02	9.35	9.37	73	73	0.00	          0.00	9.37	9.37	9.37	9.35	    19.83	68401	  0.46	全国地产	北京	0.00	9.37	37	
000049	德赛电池	1.58	52.00	0.81	52.00	52.01	2076	2076	0.00	          0.10	52.00	52.00	52.00	51.19	    41.80	10796500	 11.66	电气设备	深圳	0.00	52.00	1038	
