代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000002	万 科Ａ	0.48	20.81	0.10	20.80	20.81	2261	2261	0.00	          0.00	20.81	20.81	20.81	20.71	    20.85	4705141	  1.56	全国地产	深圳	0.00	20.81	1131	
000027	深圳能源	-0.28	7.00	-0.02	6.99	7.00	279	279	0.00	          0.00	7.00	7.00	7.00	7.02	    15.56	195300	  0.92	火力发电	深圳	0.00	7.00	140	
000063	中兴通讯	--  	15.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.28	    16.65	0	  0.00	通信设备	深圳	0.00	15.28	0	
000069	华侨城Ａ	0.26	7.62	0.02	7.62	7.63	1071	1071	0.00	          0.00	7.62	7.62	7.62	7.60	    16.08	816102	  0.91	旅游景点	深圳	0.00	7.62	536	
000338	潍柴动力	0.97	11.40	0.11	11.40	11.41	6788	6787	0.00	          0.03	11.40	11.40	11.40	11.29	    22.73	7738195	  7.01	汽车配件	山东	0.00	11.40	3394	
000417	合肥百货	-0.63	9.45	-0.06	9.45	9.46	79	79	0.00	          0.00	9.45	9.45	9.45	9.51	    23.96	74655	  0.12	百货	安徽	0.00	9.45	40	
000418	小天鹅Ａ	-0.15	38.75	-0.06	38.73	38.75	121	121	0.00	          0.00	38.75	38.75	38.75	38.81	    20.86	468875	  0.86	家用电器	江苏	0.00	38.75	61	
000419	通程控股	0.46	8.68	0.04	8.66	8.68	126	126	0.00	          0.00	8.68	8.68	8.68	8.64	    42.59	109368	  0.21	百货	湖南	0.00	8.68	63	
000501	鄂武商Ａ	0.50	24.32	0.12	24.24	24.32	263	263	0.00	          0.01	24.32	24.32	24.32	24.20	    15.29	639616	  1.33	百货	湖北	0.00	24.32	132	
000531	穗恒运Ａ	0.17	11.81	0.02	11.80	11.81	52	52	0.00	          0.00	11.81	11.81	11.81	11.79	    14.04	61412	  0.24	火力发电	广东	0.00	11.81	26	
000537	广宇发展	0.21	9.37	0.02	9.36	9.37	182	182	0.00	          0.00	9.37	9.37	9.37	9.35	    14.37	170534	  0.61	区域地产	天津	0.00	9.37	91	
000539	粤电力Ａ	-0.18	5.52	-0.01	5.51	5.52	69	69	0.00	          0.00	5.52	5.52	5.52	5.53	    14.72	38088	  0.24	火力发电	广东	0.00	5.52	35	
000543	皖能电力	0.00	7.15	0.00	7.15	7.16	678	678	0.00	          0.00	7.15	7.15	7.15	7.15	    12.43	484770	  1.63	火力发电	安徽	0.00	7.15	339	
000550	江铃汽车	-0.14	28.14	-0.04	28.06	28.15	4	4	0.00	          0.00	28.14	28.14	28.14	28.18	    16.66	11256	  0.04	汽车整车	江西	0.00	28.14	2	
000552	靖远煤电	0.00	4.00	0.00	3.99	4.00	1352	1352	0.00	          0.01	4.00	4.00	4.00	4.00	    57.20	540800	  1.95	煤炭开采	甘肃	0.00	4.00	676	
000568	泸州老窖	0.20	40.71	0.08	40.71	40.75	177	177	0.00	          0.00	40.71	40.71	40.71	40.63	    28.42	720567	  0.45	白酒	四川	0.00	40.71	89	
000572	海马汽车	0.00	6.14	0.00	6.13	6.14	355	355	0.00	          0.00	6.14	6.14	6.14	6.14	    36.24	217970	  0.22	汽车整车	海南	0.00	6.14	178	
000581	威孚高科	0.17	23.76	0.04	23.73	23.76	72	72	0.00	          0.00	23.76	23.76	23.76	23.72	    13.73	171072	  0.33	汽车配件	江苏	0.00	23.76	36	
000596	古井贡酒	-0.18	54.37	-0.10	54.37	54.47	49	49	0.00	          0.00	54.37	54.37	54.37	54.47	    35.26	266413	  0.49	白酒	安徽	0.00	54.37	25	
000600	建投能源	0.00	9.36	0.00	9.35	9.36	101	101	0.00	          0.00	9.36	9.36	9.36	9.36	     7.66	94536	  0.27	火力发电	河北	0.00	9.36	51	
000619	海螺型材	-0.08	13.00	-0.01	12.97	13.00	106	106	0.00	          0.00	13.00	13.00	13.00	13.01	    38.57	137800	  0.54	其他建材	安徽	0.00	13.00	53	
000625	长安汽车	0.51	15.70	0.08	15.70	15.71	3473	3473	0.00	          0.01	15.70	15.70	15.70	15.62	     7.31	5452610	  1.99	汽车整车	重庆	0.00	15.70	1737	
000651	格力电器	0.03	28.88	0.01	28.88	28.89	2880	2879	0.00	          0.00	28.88	28.88	28.88	28.87	    11.60	8316776	  0.95	家用电器	广东	0.00	28.88	1440	
000656	金科股份	0.00	5.82	0.00	5.82	5.83	707	707	0.00	          0.00	5.82	5.82	5.82	5.82	    23.13	411474	  0.65	区域地产	重庆	0.00	5.82	354	
000669	金鸿能源	0.46	17.50	0.08	17.40	17.50	51	51	0.00	          0.00	17.50	17.50	17.50	17.42	    36.59	89250	  0.50	供气供热	吉林	0.00	17.50	26	
000685	中山公用	-0.09	10.98	-0.01	10.98	11.00	350	350	0.00	          0.00	10.98	10.98	10.98	10.99	    16.67	384300	  1.55	水务	广东	0.00	10.98	175	
000686	东北证券	-0.16	12.12	-0.02	12.12	12.14	344	344	0.00	          0.00	12.12	12.12	12.12	12.14	    18.35	416928	  0.50	证券	吉林	0.00	12.12	172	
000700	模塑科技	-0.12	8.44	-0.01	8.42	8.44	22	22	0.00	          0.00	8.44	8.44	8.44	8.45	    27.31	18568	  0.13	汽车配件	江苏	0.00	8.44	11	
000709	河钢股份	0.00	3.84	0.00	3.84	3.85	2426	2426	0.00	          0.00	3.84	3.84	3.84	3.84	    32.77	931584	  0.74	普钢	河北	0.00	3.84	1213	
000725	京东方Ａ	0.00	3.20	0.00	3.19	3.20	8971	8971	0.00	          0.00	3.20	3.20	3.20	3.20	   599.76	2870720	  0.91	元器件	北京	0.00	3.20	4486	
000728	国元证券	0.10	20.13	0.02	20.12	20.13	385	385	0.00	          0.00	20.13	20.13	20.13	20.11	    31.10	775005	  0.50	证券	安徽	0.00	20.13	193	
000729	燕京啤酒	0.00	7.45	0.00	7.45	7.47	22	22	0.00	          0.00	7.45	7.45	7.45	7.45	    25.47	16390	  0.10	啤酒	北京	0.00	7.45	11	
000736	中房地产	-0.16	18.31	-0.03	18.31	18.34	39	39	0.00	          0.00	18.31	18.31	18.31	18.34	    43.35	71409	  0.13	全国地产	重庆	0.00	18.31	20	
000752	西藏发展	0.00	15.78	0.00	15.77	15.78	23	23	0.00	          0.00	15.78	15.78	15.78	15.78	   723.12	36294	  0.17	啤酒	西藏	0.00	15.78	12	
000759	中百集团	0.11	9.46	0.01	9.45	9.46	40	40	0.00	          0.00	9.46	9.46	9.46	9.45	--  	37840	  0.13	超市连锁	湖北	0.00	9.46	20	
000776	广发证券	-0.29	17.36	-0.05	17.36	17.37	797	797	0.00	          0.00	17.36	17.36	17.36	17.41	    16.04	1383592	  1.13	证券	广东	0.00	17.36	399	
000785	武汉中商	--  	13.71	--  	13.73	13.75	0	0	--  	          0.00	--  	--  	--  	13.71	   139.30	0	  0.00	百货	湖北	0.00	13.71	0	
000789	万年青	-0.33	8.95	-0.03	8.95	8.97	614	614	0.00	          0.01	8.95	8.95	8.95	8.98	    24.84	549530	  0.73	水泥	江西	0.00	8.95	307	
000828	东莞控股	0.00	13.49	0.00	13.49	13.50	223	223	0.00	          0.00	13.49	13.49	13.49	13.49	    16.79	300827	  0.55	路桥	广东	0.00	13.49	112	
