代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000006	深振业Ａ	0.00	8.76	0.00	8.75	8.76	532	532	0.00	          0.00	8.76	8.76	8.76	8.76	    77.47	466032	  0.86	区域地产	深圳	0.00	8.76	266	
000027	深圳能源	-0.28	7.00	-0.02	6.99	7.00	279	279	0.00	          0.00	7.00	7.00	7.00	7.02	    15.56	195300	  0.92	火力发电	深圳	0.00	7.00	140	
000028	国药一致	0.30	70.54	0.21	70.51	70.54	11	11	0.00	          0.00	70.54	70.54	70.54	70.33	    31.34	77594	  0.23	医药商业	深圳	0.00	70.54	6	
000030	富奥股份	0.11	8.84	0.01	8.84	8.85	433	433	0.00	          0.00	8.84	8.84	8.84	8.83	    16.52	382772	  1.62	汽车配件	吉林	0.00	8.84	217	
000031	中粮地产	0.36	8.37	0.03	8.36	8.37	405	405	0.00	          0.00	8.37	8.37	8.37	8.34	   148.40	338985	  1.00	全国地产	深圳	0.00	8.37	203	
000039	中集集团	0.18	16.37	0.03	16.34	16.37	66	66	0.00	          0.00	16.37	16.37	16.37	16.34	--  	108042	  0.18	轻工机械	深圳	0.00	16.37	33	
000046	泛海控股	0.21	9.37	0.02	9.35	9.37	73	73	0.00	          0.00	9.37	9.37	9.37	9.35	    19.83	68401	  0.46	全国地产	北京	0.00	9.37	37	
000049	德赛电池	1.58	52.00	0.81	52.00	52.01	2076	2076	0.00	          0.10	52.00	52.00	52.00	51.19	    41.80	10796500	 11.66	电气设备	深圳	0.00	52.00	1038	
000060	中金岭南	-0.52	11.48	-0.06	11.47	11.48	666	666	0.00	          0.00	11.48	11.48	11.48	11.54	   116.26	764568	  0.71	铅锌	深圳	0.00	11.48	333	
000063	中兴通讯	--  	15.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.28	    16.65	0	  0.00	通信设备	深圳	0.00	15.28	0	
000069	华侨城Ａ	0.26	7.62	0.02	7.62	7.63	1071	1071	0.00	          0.00	7.62	7.62	7.62	7.60	    16.08	816102	  0.91	旅游景点	深圳	0.00	7.62	536	
000088	盐 田 港	-0.27	7.44	-0.02	7.43	7.45	129	129	0.00	          0.00	7.44	7.44	7.44	7.46	    40.19	95976	  0.28	港口	深圳	0.00	7.44	65	
000090	天健集团	0.11	9.31	0.01	9.31	9.34	34	33	0.00	          0.00	9.31	9.31	9.31	9.30	    37.77	31468	  0.13	建筑施工	深圳	0.00	9.31	17	
000099	中信海直	-0.32	12.60	-0.04	12.59	12.60	328	328	0.00	          0.01	12.60	12.60	12.60	12.64	    75.51	413280	  0.72	空运	深圳	0.00	12.60	164	
000156	华数传媒	0.45	17.80	0.08	17.80	17.81	1097	1096	0.00	          0.01	17.80	17.80	17.80	17.72	    41.74	1952553	  9.88	影视音像	浙江	0.00	17.80	548	
000157	中联重科	-0.21	4.84	-0.01	4.83	4.84	814	814	0.00	          0.00	4.84	4.84	4.84	4.85	--  	393976	  0.40	工程机械	湖南	0.00	4.84	407	
000333	美的集团	0.12	33.94	0.04	33.93	33.94	1188	1188	0.00	          0.00	33.94	33.94	33.94	33.90	    12.77	4032072	  0.79	家用电器	广东	0.00	33.94	594	
000338	潍柴动力	0.97	11.40	0.11	11.40	11.41	6788	6787	0.00	          0.03	11.40	11.40	11.40	11.29	    22.73	7738195	  7.01	汽车配件	山东	0.00	11.40	3394	
000400	许继电气	-0.06	17.64	-0.01	17.64	17.65	211	211	0.00	          0.00	17.64	17.64	17.64	17.65	    54.53	372557	  1.48	电气设备	河南	0.00	17.64	106	
000402	金 融 街	0.27	11.20	0.03	11.20	11.21	610	609	0.00	          0.00	11.20	11.20	11.20	11.17	    31.23	683088	  1.11	全国地产	北京	0.00	11.20	305	
000422	湖北宜化	-0.14	7.04	-0.01	7.03	7.04	81	81	0.00	          0.00	7.04	7.04	7.04	7.05	   258.04	57024	  0.14	农药化肥	湖北	0.00	7.04	41	
000423	东阿阿胶	0.08	59.60	0.05	59.58	59.60	376	376	0.00	          0.01	59.60	59.60	59.60	59.55	    21.04	2240960	  0.90	中成药	山东	0.00	59.60	188	
000511	*ST烯碳	3.25	6.68	0.21	6.66	6.68	23376	23376	0.00	          0.20	6.68	6.68	6.68	6.47	--  	15615168	  7.94	矿物制品	辽宁	0.00	6.68	11688	
000513	丽珠集团	0.18	54.83	0.10	54.83	54.90	36	36	0.00	          0.00	54.83	54.83	54.83	54.73	    28.47	197388	  0.48	中成药	广东	0.00	54.83	18	
000525	红 太 阳	0.31	19.38	0.06	19.38	19.40	74	74	0.00	          0.00	19.38	19.38	19.38	19.32	   217.17	143412	  0.27	农药化肥	江苏	0.00	19.38	37	
000528	柳 工	0.00	9.10	0.00	9.08	9.10	426	426	0.00	          0.00	9.10	9.10	9.10	9.10	  1221.14	387660	  0.45	工程机械	广西	0.00	9.10	213	
000538	云南白药	0.01	77.24	0.01	77.24	77.25	100	100	0.00	          0.00	77.24	77.24	77.24	77.23	    25.56	772400	  0.78	中成药	云南	0.00	77.24	50	
