代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000541	佛山照明	0.00	10.51	0.00	10.48	10.51	84	84	0.00	          0.00	10.51	10.51	10.51	10.51	    35.80	88284	  0.21	家用电器	广东	0.00	10.51	42	
000608	阳光股份	0.25	7.90	0.02	7.85	7.90	53	53	0.00	          0.00	7.90	7.90	7.90	7.88	--  	41870	  0.46	区域地产	广西	0.00	7.90	27	
000869	张 裕Ａ	-0.19	37.00	-0.07	37.00	37.03	17	17	0.00	          0.00	37.00	37.00	37.00	37.07	    23.06	62900	  0.18	红黄药酒	山东	0.00	37.00	9	
000895	双汇发展	-0.18	21.75	-0.04	21.73	21.75	176	176	0.00	          0.00	21.75	21.75	21.75	21.79	    16.42	382800	  0.52	食品	河南	0.00	21.75	88	
000932	华菱钢铁	0.00	5.13	0.00	5.12	5.13	107	107	0.00	          0.00	5.13	5.13	5.13	5.13	--  	54891	  0.22	普钢	湖南	0.00	5.13	54	
000935	四川双马	--  	23.06	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	23.06	   208.25	0	  0.00	水泥	四川	0.00	23.06	0	
002022	科华生物	0.19	20.79	0.04	20.75	20.79	10	10	0.00	          0.00	20.79	20.79	20.79	20.75	    39.14	20790	  0.07	医疗保健	上海	0.00	20.79	5	
002032	苏 泊 尔	-0.59	38.76	-0.23	38.76	38.99	23	23	0.00	          0.00	38.76	38.76	38.76	38.99	    24.75	89148	  0.28	家用电器	浙江	0.00	38.76	12	
002047	宝鹰股份	0.00	9.20	0.00	9.18	9.20	66	66	0.00	          0.00	9.20	9.20	9.20	9.20	    34.06	60720	  0.25	装修装饰	深圳	0.00	9.20	33	
600007	中国国贸	0.00	20.01	0.00	20.01	20.09	26	26	0.00	          0.00	20.01	20.01	20.01	20.01	    27.55	52026	  0.39	园区开发	北京	0.00	20.01	13	
600114	东睦股份	0.00	17.92	0.00	17.89	17.92	358	358	0.00	          0.01	17.92	17.92	17.92	17.92	    52.48	641536	  2.36	机械基件	浙江	0.00	17.92	179	
600132	重庆啤酒	0.09	21.63	0.02	21.63	21.68	76	76	0.00	          0.00	21.63	21.63	21.63	21.61	    29.79	164388	  0.36	啤酒	重庆	0.00	21.63	38	
600182	S佳通	-0.38	28.58	-0.11	28.58	28.68	79	79	0.00	          0.00	28.58	28.58	28.58	28.69	    60.97	225782	  0.83	汽车配件	黑龙江	0.00	28.58	40	
600595	中孚实业	-0.50	5.96	-0.03	5.96	5.97	230	230	0.00	          0.00	5.96	5.96	5.96	5.99	    44.86	137080	  0.36	铝	河南	0.00	5.96	115	
600779	水井坊	0.04	24.84	0.01	24.84	24.85	188	188	0.00	          0.00	24.84	24.84	24.84	24.83	    61.04	466992	  0.45	白酒	四川	0.00	24.84	94	
600801	华新水泥	0.96	9.46	0.09	9.46	9.47	1531	1531	0.00	          0.02	9.46	9.46	9.46	9.37	    66.07	1448326	  2.08	水泥	湖北	0.00	9.46	766	
600819	耀皮玻璃	0.00	8.70	0.00	8.70	8.74	245	245	0.00	          0.00	8.70	8.70	8.70	8.70	   146.04	213150	  1.01	玻璃	上海	0.00	8.70	123	
603005	晶方科技	0.09	32.15	0.03	32.15	32.17	10	10	0.00	          0.00	32.15	32.15	32.15	32.12	   180.63	32150	  0.09	半导体	江苏	0.00	32.15	5	
数据来源:通达信
