代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000001	平安银行	-0.11	9.43	-0.01	9.43	9.44	1805	1805	0.00	          0.00	9.43	9.43	9.43	9.44	     6.49	1702115	  1.17	银行	深圳	0.00	9.43	903	
000002	万 科Ａ	0.48	20.81	0.10	20.80	20.81	2261	2261	0.00	          0.00	20.81	20.81	20.81	20.71	    20.85	4705141	  1.56	全国地产	深圳	0.00	20.81	1131	
000028	国药一致	0.30	70.54	0.21	70.51	70.54	11	11	0.00	          0.00	70.54	70.54	70.54	70.33	    31.34	77594	  0.23	医药商业	深圳	0.00	70.54	6	
000333	美的集团	0.12	33.94	0.04	33.93	33.94	1188	1188	0.00	          0.00	33.94	33.94	33.94	33.90	    12.77	4032072	  0.79	家用电器	广东	0.00	33.94	594	
000423	东阿阿胶	0.08	59.60	0.05	59.58	59.60	376	376	0.00	          0.01	59.60	59.60	59.60	59.55	    21.04	2240960	  0.90	中成药	山东	0.00	59.60	188	
000538	云南白药	0.01	77.24	0.01	77.24	77.25	100	100	0.00	          0.00	77.24	77.24	77.24	77.23	    25.56	772400	  0.78	中成药	云南	0.00	77.24	50	
000568	泸州老窖	0.20	40.71	0.08	40.71	40.75	177	177	0.00	          0.00	40.71	40.71	40.71	40.63	    28.42	720567	  0.45	白酒	四川	0.00	40.71	89	
000625	长安汽车	0.51	15.70	0.08	15.70	15.71	3473	3473	0.00	          0.01	15.70	15.70	15.70	15.62	     7.31	5452610	  1.99	汽车整车	重庆	0.00	15.70	1737	
000651	格力电器	0.03	28.88	0.01	28.88	28.89	2880	2879	0.00	          0.00	28.88	28.88	28.88	28.87	    11.60	8316776	  0.95	家用电器	广东	0.00	28.88	1440	
000768	中航飞机	-0.21	24.00	-0.05	24.00	24.01	1620	1620	0.00	          0.01	24.00	24.00	24.00	24.05	   422.10	3888000	  1.44	航空	陕西	0.00	24.00	810	
000776	广发证券	-0.29	17.36	-0.05	17.36	17.37	797	797	0.00	          0.00	17.36	17.36	17.36	17.41	    16.04	1383592	  1.13	证券	广东	0.00	17.36	399	
000786	北新建材	-0.17	11.82	-0.02	11.80	11.82	41	41	0.00	          0.00	11.82	11.82	11.82	11.84	    20.27	48462	  0.06	其他建材	北京	0.00	11.82	21	
000858	五 粮 液	-0.05	41.63	-0.02	41.62	41.63	750	750	0.00	          0.00	41.63	41.63	41.63	41.65	    23.23	3122250	  0.84	白酒	四川	0.00	41.63	375	
000963	华东医药	0.06	83.45	0.05	83.45	83.63	30	30	0.00	          0.00	83.45	83.45	83.45	83.40	    28.04	250350	  0.17	化学制药	浙江	0.00	83.45	15	
002007	华兰生物	0.41	36.58	0.15	36.53	36.58	68	68	0.00	          0.00	36.58	36.58	36.58	36.43	    42.02	248744	  0.30	生物制药	河南	0.00	36.58	34	
002035	华帝股份	0.46	32.90	0.15	32.75	32.90	222	222	0.00	          0.01	32.90	32.90	32.90	32.75	    44.59	730380	  2.09	家用电器	广东	0.00	32.90	111	
002120	韵达股份	-0.82	47.08	-0.39	47.08	47.17	13	13	0.00	          0.00	47.08	47.08	47.08	47.47	   583.13	61204	  0.18	仓储物流	浙江	0.00	47.08	7	
002127	南极电商	-0.54	11.00	-0.06	10.98	11.00	226	226	0.00	          0.00	11.00	11.00	11.00	11.06	    84.97	248600	  0.95	互联网	江苏	0.00	11.00	113	
002175	东方网络	--  	16.38	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.38	   380.06	0	  0.00	电器仪表	广西	0.00	16.38	0	
002179	中航光电	-0.12	41.00	-0.05	40.92	41.00	537	537	0.00	          0.01	41.00	41.00	41.00	41.05	    32.91	2201700	  2.56	元器件	河南	0.00	41.00	269	
002234	民和股份	0.15	20.11	0.03	20.10	20.11	214	214	0.00	          0.01	20.11	20.11	20.11	20.08	    18.23	430354	  0.45	农业综合	山东	0.00	20.11	107	
