代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000002	万 科Ａ	0.48	20.81	0.10	20.80	20.81	2261	2261	0.00	          0.00	20.81	20.81	20.81	20.71	    20.85	4705141	  1.56	全国地产	深圳	0.00	20.81	1131	
000027	深圳能源	-0.28	7.00	-0.02	6.99	7.00	279	279	0.00	          0.00	7.00	7.00	7.00	7.02	    15.56	195300	  0.92	火力发电	深圳	0.00	7.00	140	
000042	中洲控股	--  	20.24	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.24	   123.09	0	  0.00	全国地产	深圳	0.00	20.24	0	
000063	中兴通讯	--  	15.28	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	15.28	    16.65	0	  0.00	通信设备	深圳	0.00	15.28	0	
000069	华侨城Ａ	0.26	7.62	0.02	7.62	7.63	1071	1071	0.00	          0.00	7.62	7.62	7.62	7.60	    16.08	816102	  0.91	旅游景点	深圳	0.00	7.62	536	
000333	美的集团	0.12	33.94	0.04	33.93	33.94	1188	1188	0.00	          0.00	33.94	33.94	33.94	33.90	    12.77	4032072	  0.79	家用电器	广东	0.00	33.94	594	
000338	潍柴动力	0.97	11.40	0.11	11.40	11.41	6788	6787	0.00	          0.03	11.40	11.40	11.40	11.29	    22.73	7738195	  7.01	汽车配件	山东	0.00	11.40	3394	
000401	冀东水泥	0.36	13.89	0.05	13.89	13.90	119	119	0.00	          0.00	13.89	13.89	13.89	13.84	--  	165291	  0.15	水泥	河北	0.00	13.89	60	
000418	小天鹅Ａ	-0.15	38.75	-0.06	38.73	38.75	121	121	0.00	          0.00	38.75	38.75	38.75	38.81	    20.86	468875	  0.86	家用电器	江苏	0.00	38.75	61	
000429	粤高速Ａ	-0.40	7.39	-0.03	7.39	7.41	400	400	0.00	          0.01	7.39	7.39	7.39	7.42	    14.53	295600	  1.52	路桥	广东	0.00	7.39	200	
000488	晨鸣纸业	-0.08	12.21	-0.01	12.20	12.21	646	646	0.00	          0.01	12.21	12.21	12.21	12.22	    11.46	788766	  0.63	造纸	山东	0.00	12.21	323	
000501	鄂武商Ａ	0.50	24.32	0.12	24.24	24.32	263	263	0.00	          0.01	24.32	24.32	24.32	24.20	    15.29	639616	  1.33	百货	湖北	0.00	24.32	132	
000521	美菱电器	0.82	7.36	0.06	7.32	7.36	1991	1991	0.00	          0.03	7.36	7.36	7.36	7.30	    34.89	1465376	  5.35	家用电器	安徽	0.00	7.36	996	
000525	红 太 阳	0.31	19.38	0.06	19.38	19.40	74	74	0.00	          0.00	19.38	19.38	19.38	19.32	   217.17	143412	  0.27	农药化肥	江苏	0.00	19.38	37	
000531	穗恒运Ａ	0.17	11.81	0.02	11.80	11.81	52	52	0.00	          0.00	11.81	11.81	11.81	11.79	    14.04	61412	  0.24	火力发电	广东	0.00	11.81	26	
000537	广宇发展	0.21	9.37	0.02	9.36	9.37	182	182	0.00	          0.00	9.37	9.37	9.37	9.35	    14.37	170534	  0.61	区域地产	天津	0.00	9.37	91	
000539	粤电力Ａ	-0.18	5.52	-0.01	5.51	5.52	69	69	0.00	          0.00	5.52	5.52	5.52	5.53	    14.72	38088	  0.24	火力发电	广东	0.00	5.52	35	
000543	皖能电力	0.00	7.15	0.00	7.15	7.16	678	678	0.00	          0.00	7.15	7.15	7.15	7.15	    12.43	484770	  1.63	火力发电	安徽	0.00	7.15	339	
000550	江铃汽车	-0.14	28.14	-0.04	28.06	28.15	4	4	0.00	          0.00	28.14	28.14	28.14	28.18	    16.66	11256	  0.04	汽车整车	江西	0.00	28.14	2	
000568	泸州老窖	0.20	40.71	0.08	40.71	40.75	177	177	0.00	          0.00	40.71	40.71	40.71	40.63	    28.42	720567	  0.45	白酒	四川	0.00	40.71	89	
000572	海马汽车	0.00	6.14	0.00	6.13	6.14	355	355	0.00	          0.00	6.14	6.14	6.14	6.14	    36.24	217970	  0.22	汽车整车	海南	0.00	6.14	178	
000581	威孚高科	0.17	23.76	0.04	23.73	23.76	72	72	0.00	          0.00	23.76	23.76	23.76	23.72	    13.73	171072	  0.33	汽车配件	江苏	0.00	23.76	36	
000596	古井贡酒	-0.18	54.37	-0.10	54.37	54.47	49	49	0.00	          0.00	54.37	54.37	54.37	54.47	    35.26	266413	  0.49	白酒	安徽	0.00	54.37	25	
000598	兴蓉环境	0.00	5.87	0.00	5.87	5.88	318	318	0.00	          0.00	5.87	5.87	5.87	5.87	    17.32	186666	  0.28	水务	四川	0.00	5.87	159	
000600	建投能源	0.00	9.36	0.00	9.35	9.36	101	101	0.00	          0.00	9.36	9.36	9.36	9.36	     7.66	94536	  0.27	火力发电	河北	0.00	9.36	51	
000623	吉林敖东	0.17	29.43	0.05	29.43	29.44	47	47	0.00	          0.00	29.43	29.43	29.43	29.38	    15.40	138321	  0.20	中成药	吉林	0.00	29.43	24	
000625	长安汽车	0.51	15.70	0.08	15.70	15.71	3473	3473	0.00	          0.01	15.70	15.70	15.70	15.62	     7.31	5452610	  1.99	汽车整车	重庆	0.00	15.70	1737	
000651	格力电器	0.03	28.88	0.01	28.88	28.89	2880	2879	0.00	          0.00	28.88	28.88	28.88	28.87	    11.60	8316776	  0.95	家用电器	广东	0.00	28.88	1440	
000683	远兴能源	-0.33	3.04	-0.01	3.04	3.05	1564	1564	0.00	          0.01	3.04	3.04	3.04	3.05	   176.40	475456	  1.00	化工原料	内蒙	0.00	3.04	782	
000685	中山公用	-0.09	10.98	-0.01	10.98	11.00	350	350	0.00	          0.00	10.98	10.98	10.98	10.99	    16.67	384300	  1.55	水务	广东	0.00	10.98	175	
000700	模塑科技	-0.12	8.44	-0.01	8.42	8.44	22	22	0.00	          0.00	8.44	8.44	8.44	8.45	    27.31	18568	  0.13	汽车配件	江苏	0.00	8.44	11	
000708	大冶特钢	--  	13.48	--  	13.46	13.47	0	0	--  	          0.00	--  	--  	--  	13.48	    20.70	0	  0.00	特种钢	湖北	0.00	13.48	0	
000709	河钢股份	0.00	3.84	0.00	3.84	3.85	2426	2426	0.00	          0.00	3.84	3.84	3.84	3.84	    32.77	931584	  0.74	普钢	河北	0.00	3.84	1213	
000719	大地传媒	0.00	12.75	0.00	12.72	12.75	34	34	0.00	          0.00	12.75	12.75	12.75	12.75	    21.38	43350	  0.10	出版业	河南	0.00	12.75	17	
000725	京东方Ａ	0.00	3.20	0.00	3.19	3.20	8971	8971	0.00	          0.00	3.20	3.20	3.20	3.20	   599.76	2870720	  0.91	元器件	北京	0.00	3.20	4486	
000726	鲁 泰Ａ	0.08	12.64	0.01	12.61	12.64	65	65	0.00	          0.00	12.64	12.64	12.64	12.63	    15.05	82160	  0.21	纺织	山东	0.00	12.64	33	
000729	燕京啤酒	0.00	7.45	0.00	7.45	7.47	22	22	0.00	          0.00	7.45	7.45	7.45	7.45	    25.47	16390	  0.10	啤酒	北京	0.00	7.45	11	
000776	广发证券	-0.29	17.36	-0.05	17.36	17.37	797	797	0.00	          0.00	17.36	17.36	17.36	17.41	    16.04	1383592	  1.13	证券	广东	0.00	17.36	399	
000789	万年青	-0.33	8.95	-0.03	8.95	8.97	614	614	0.00	          0.01	8.95	8.95	8.95	8.98	    24.84	549530	  0.73	水泥	江西	0.00	8.95	307	
