代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000150	宜华健康	-0.70	28.46	-0.20	28.45	28.46	30173	868	-0.14	          0.85	28.60	28.63	28.08	28.66	     9.89	85550488	  0.89	医疗保健	广东	1.92	28.35	16144	14028	  1.15	252	105	--  	          3.54	
000722	湖南发展	-0.39	15.52	-0.06	15.52	15.53	42426	528	-0.06	          0.91	15.53	15.60	15.20	15.58	    38.96	65419708	  0.46	水力发电	湖南	2.57	15.42	21529	20896	  1.03	346	211	--  	          4.64	
000955	欣龙控股	0.00	7.29	0.00	7.28	7.29	54799	234	0.00	          1.02	7.25	7.31	7.24	7.29	--  	39902204	  1.11	纺织	海南	0.96	7.28	23275	31523	  0.74	1362	500	--  	          5.38	
000961	中南建设	-3.25	9.82	-0.33	9.82	9.83	691595	11870	-0.60	          2.38	10.13	10.13	9.55	10.15	    55.97	677680384	  0.97	建筑施工	江苏	5.71	9.80	293452	398143	  0.74	556	1075	--  	         29.10	
002016	世荣兆业	0.81	9.98	0.08	9.97	9.98	39982	378	0.00	          0.62	9.91	10.02	9.80	9.90	    65.18	39760048	  0.81	区域地产	广东	2.22	9.94	20553	19429	  1.06	104	220	--  	          6.46	
002162	悦心健康	--  	6.61	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	6.61	  2006.90	0	  0.00	医疗保健	上海	0.00	6.61	0	0	--  	0	0	--  	          8.15	
002223	鱼跃医疗	0.35	31.45	0.11	31.45	31.46	26112	638	-0.09	          0.53	31.34	31.52	31.05	31.34	    36.49	81810696	  0.84	医疗保健	江苏	1.50	31.33	12186	13925	  0.88	735	35	--  	          4.94	
002231	奥维通信	1.47	13.80	0.20	13.79	13.80	37908	667	0.14	          1.51	13.55	13.83	13.51	13.60	--  	51937376	  1.08	通信设备	辽宁	2.35	13.70	13374	24534	  0.55	81	276	--  	          2.50	
002285	世联行	0.63	7.96	0.05	7.96	7.97	149880	349	-0.12	          0.88	7.91	7.97	7.79	7.91	    32.16	118153024	  0.92	房产服务	深圳	2.28	7.88	83025	66855	  1.24	1696	380	--  	         16.97	
002381	双箭股份	0.54	11.09	0.06	11.08	11.09	21509	265	0.54	          1.00	10.98	11.11	10.92	11.03	    59.41	23643650	  0.81	橡胶	浙江	1.72	10.99	10970	10538	  1.04	18	335	--  	          2.16	
300096	易联众	-0.18	16.54	-0.03	16.53	16.54	47561	431	0.12	          1.27	16.57	16.60	16.33	16.57	--  	78215744	  0.47	软件服务	福建	1.63	16.45	27240	20321	  1.34	43	84	--  	          3.73	
300168	万达信息	-0.05	18.20	-0.01	18.20	18.21	123949	1053	0.00	          1.23	18.04	18.34	18.01	18.21	   160.80	225205760	  1.02	软件服务	上海	1.81	18.17	65005	58944	  1.10	416	671	--  	         10.09	
300212	易华录	--  	34.00	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	34.00	   113.18	0	  0.00	软件服务	北京	0.00	34.00	0	0	--  	0	0	--  	          3.05	
300244	迪安诊断	2.21	31.86	0.69	31.86	31.87	46753	1127	0.15	          1.41	31.17	31.98	31.10	31.17	    69.99	148122576	  1.39	医疗保健	浙江	2.82	31.68	19650	27102	  0.73	134	16	--  	          3.31	
300247	乐金健康	0.48	8.41	0.04	8.40	8.41	83552	1552	0.11	          1.77	8.35	8.41	8.21	8.37	   153.86	69590992	  0.73	医疗保健	安徽	2.39	8.33	39483	44068	  0.90	1329	1645	--  	          4.72	
600238	海南椰岛	0.95	11.74	0.11	11.72	11.75	37959	1	0.08	          0.85	11.57	11.79	11.53	11.63	--  	44352064	  0.92	红黄药酒	海南	2.24	11.68	13629	24330	  0.56	58	514	--  	          4.45	
600239	云南城投	0.00	6.55	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	6.55	--  	0	  0.00	区域地产	云南	0.00	6.55	0	0	--  	0	0	--  	         10.70	
600267	海正药业	1.19	13.58	0.16	13.58	13.59	76604	12	0.22	          0.79	13.39	13.73	13.32	13.42	   317.18	103933072	  1.26	化学制药	浙江	3.06	13.57	36756	39848	  0.92	5	89	--  	          9.66	
600329	中新药业	2.22	18.92	0.41	18.91	18.93	43569	60	0.21	          0.77	18.57	18.98	18.52	18.51	    31.24	82020680	  1.56	中成药	天津	2.49	18.83	13628	29940	  0.46	50	87	--  	          5.66	
600332	白云山	3.98	28.21	1.08	28.22	28.23	196927	6	0.46	          1.84	27.09	28.57	27.09	27.13	    32.56	550452352	  2.36	中成药	广东	5.46	27.95	75165	121762	  0.62	19	77	--  	         10.71	
600620	天宸股份	-1.69	15.11	-0.26	15.10	15.11	31943	8	0.00	          0.47	15.36	15.36	14.88	15.37	   149.31	48151184	  1.09	综合类	上海	3.12	15.07	18601	13341	  1.39	74	127	--  	          6.87	
600682	南京新百	-1.20	36.19	-0.44	36.14	36.19	41212	5	-0.30	          0.57	36.65	36.65	36.00	36.63	--  	149394352	  1.31	百货	江苏	1.77	36.25	27258	13954	  1.95	21	26	--  	          7.26	
600689	上海三毛	-0.11	17.43	-0.02	17.43	17.44	22600	19	0.00	          1.48	17.46	17.46	17.18	17.45	--  	39141416	  0.59	纺织	上海	1.60	17.32	11683	10916	  1.07	114	148	--  	          1.52	
600695	绿庭投资	-0.21	9.70	-0.02	9.70	9.72	26866	27	-0.10	          0.73	9.65	9.80	9.65	9.72	  1337.13	26115348	  0.77	多元金融	上海	1.54	9.72	14408	12458	  1.16	99	136	--  	          3.66	
600716	凤凰股份	2.55	7.23	0.18	7.22	7.23	247273	14	-0.13	          2.72	7.11	7.28	7.05	7.05	   429.97	177537008	  3.67	区域地产	江苏	3.26	7.18	102339	144934	  0.71	614	298	--  	          9.10	
600718	东软集团	0.31	19.33	0.06	19.34	19.35	198575	24	0.31	          1.61	19.25	19.35	19.02	19.27	     8.82	381471552	  0.71	软件服务	辽宁	1.71	19.21	102675	95899	  1.07	83	847	--  	         12.32	
600735	新华锦	0.00	20.74	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	20.74	   134.62	0	  0.00	商贸代理	山东	0.00	20.74	0	0	--  	0	0	--  	          3.76	
600745	中茵股份	0.05	20.00	0.01	19.99	20.00	45360	4	0.40	          0.94	19.99	20.18	19.71	19.99	   286.24	90624496	  0.97	通信设备	湖北	2.35	19.98	22610	22749	  0.99	18	113	--  	          4.83	
600748	上实发展	0.73	8.30	0.06	8.30	8.31	51929	1000	0.00	          0.37	8.23	8.33	8.09	8.24	    36.33	42740908	  0.99	全国地产	上海	2.91	8.23	27167	24761	  1.10	18	14	--  	         14.08	
601007	金陵饭店	0.39	15.58	0.06	15.58	15.59	39100	69	0.38	          1.30	15.53	15.59	15.31	15.52	    98.18	60464008	  0.64	酒店餐饮	江苏	1.80	15.46	20912	18188	  1.15	108	53	--  	          3.00	
数据来源:通达信
