代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	
000861	海印股份	0.21	4.72	0.01	4.71	4.72	52774	578	0.21	          0.30	4.71	4.72	4.66	4.71	    61.26	24763622	  0.73	房产服务	广东	1.27	4.69	30232	22541	  1.34	892	2078	--  	         17.61	
002241	歌尔股份	3.62	32.62	1.14	32.62	32.63	155813	567	0.09	          1.23	31.46	32.99	31.43	31.48	    36.04	506591232	  1.43	元器件	山东	4.96	32.51	56835	98977	  0.57	32	88	--  	         12.64	
002245	澳洋顺昌	0.10	10.36	0.01	10.35	10.36	172564	1381	0.19	          1.90	10.29	10.48	10.13	10.35	    49.18	178201600	  0.66	仓储物流	江苏	3.38	10.33	91462	81101	  1.13	541	358	--  	          9.09	
002325	洪涛股份	-0.67	7.42	-0.05	7.42	7.43	160073	661	0.00	          1.74	7.48	7.49	7.28	7.47	    31.85	118081632	  1.61	装修装饰	深圳	2.81	7.38	72104	87969	  0.82	822	2819	--  	          9.22	
002496	辉丰股份	0.00	4.97	0.00	4.97	4.98	202751	3403	0.00	          2.25	4.92	4.98	4.89	4.97	    40.05	100082480	  0.64	农药化肥	江苏	1.81	4.94	116718	86032	  1.36	981	2614	--  	          8.99	
002510	天汽模	0.15	6.58	0.01	6.57	6.58	84346	2452	0.15	          1.28	6.56	6.58	6.46	6.57	    40.17	55156328	  0.77	汽车配件	天津	1.83	6.54	46169	38177	  1.21	1182	923	--  	          6.60	
300058	蓝色光标	0.52	9.59	0.05	9.58	9.59	117035	948	0.10	          0.73	9.55	9.59	9.41	9.54	    32.04	111256936	  0.99	广告包装	北京	1.89	9.51	55177	61857	  0.89	1123	1775	--  	         16.00	
600004	白云机场	6.65	16.20	1.01	16.19	16.20	314236	9	-0.12	          2.73	15.61	16.35	15.45	15.19	    13.22	500435520	  5.41	机场	广东	5.92	15.93	123530	190706	  0.65	399	285	--  	         11.50	
600031	三一重工	2.13	7.66	0.16	7.66	7.67	877449	17	0.13	          1.16	7.58	7.75	7.53	7.50	   252.00	671845696	  1.60	工程机械	湖南	2.93	7.66	406280	471169	  0.86	100	1053	--  	         75.94	
600185	格力地产	1.87	5.99	0.11	5.97	5.98	145376	11	0.16	          0.90	5.88	5.99	5.87	5.88	    25.34	86475400	  1.92	区域地产	广东	2.04	5.95	62019	83357	  0.74	1219	113	--  	         16.18	
600271	航天信息	0.00	20.60	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	20.60	    30.49	0	  0.00	电脑设备	北京	0.00	20.60	0	0	--  	0	0	--  	         18.47	
600755	厦门国贸	1.05	8.64	0.09	8.63	8.64	111830	1	0.00	          0.67	8.53	8.64	8.51	8.55	    13.76	96184584	  0.82	商贸代理	福建	1.52	8.60	54778	57052	  0.96	428	1320	--  	         16.65	
600998	九州通	0.25	19.93	0.05	19.94	19.95	16429	15	0.00	          0.11	19.88	19.98	19.66	19.88	    53.83	32560952	  0.75	医药商业	湖北	1.61	19.82	8576	7852	  1.09	158	141	--  	         14.42	
601199	江南水务	0.37	8.08	0.03	8.07	8.08	53648	5	0.12	          0.57	8.03	8.10	7.95	8.05	    23.24	43134384	  0.62	水务	江苏	1.86	8.04	28856	24792	  1.16	690	293	--  	          9.35	
601238	广汽集团	-0.69	26.06	-0.18	26.05	26.09	50319	261	-0.03	          0.12	26.20	26.54	26.04	26.24	    22.53	132062496	  0.88	汽车整车	广东	1.91	26.24	29538	20781	  1.42	103	50	--  	         42.53	
601727	上海电气	0.00	8.42	0.00	--  	--  	0	0	0.00	          0.00	--  	--  	--  	8.42	    47.95	0	  0.00	电气设备	上海	0.00	8.42	0	0	--  	0	0	--  	         98.51	
数据来源:通达信
